,Variable,Accuracy_of_model_cus,Accuracy_of_model_ML,Accuracy_of_model_IndTest_modified,Accuracy_of_model_Exp_modified
0,BLA,0.4632352941176471,0.5073529411764706,0.49264705882352944,0.4632352941176471
1,BLP,0.5147058823529411,0.47058823529411764,0.5147058823529411,0.5073529411764706
2,MABH,0.6911764705882353,0.8970588235294118,0.9191176470588235,0.8676470588235294
3,BN,0.4852941176470588,0.6911764705882353,0.6985294117647058,0.6102941176470589
4,FAR,0.6470588235294118,0.6029411764705882,0.6323529411764706,0.6544117647058824
5,BD,0.6617647058823529,0.6176470588235294,0.6323529411764706,0.6617647058823529
6,HBN,0.8382352941176471,0.9411764705882353,0.9191176470588235,0.9117647058823529
7,AHBH,0.8235294117647058,0.9926470588235294,0.9926470588235294,0.9779411764705882
8,ABH,0.5735294117647058,0.6323529411764706,0.6176470588235294,0.6470588235294118
9,DHBH,0.9558823529411765,0.9705882352941176,0.9632352941176471,0.9558823529411765
10,ABF,0.5441176470588235,0.5661764705882353,0.5441176470588235,0.5661764705882353
11,CL,0.5808823529411765,0.5882352941176471,0.5735294117647058,0.5735294117647058
12,RBS,0.5147058823529411,0.6985294117647058,0.7573529411764706,0.625
13,HBFR,0.8602941176470589,0.9338235294117647,0.9264705882352942,0.9338235294117647
14,BL,0.14705882352941177,0.11029411764705882,0.1323529411764706,0.16911764705882354
15,LU,0.625,0.6764705882352942,0.6323529411764706,0.6544117647058824
