,Variable,Accuracy_of_test_dataset,Accuracy_of_train_dataset,Accuracy_of_predict_dataset
0,BLA,0.4632352941176471,0.7490774907749077,0.6583333333333333
1,BLP,0.5073529411764706,0.7343173431734318,0.85
2,MABH,0.8676470588235294,0.9907749077490775,0.5666666666666667
3,BN,0.6102941176470589,0.9446494464944649,0.26666666666666666
4,FAR,0.6544117647058824,0.981549815498155,0.35833333333333334
5,BD,0.6617647058823529,0.9575645756457565,0.3416666666666667
6,HBN,0.9117647058823529,0.9907749077490775,0.8666666666666667
7,AHBH,0.9779411764705882,1.0,0.9416666666666667
8,ABH,0.6470588235294118,0.7749077490774908,0.39166666666666666
9,DHBH,0.9558823529411765,0.992619926199262,0.8416666666666667
10,ABF,0.5661764705882353,0.7749077490774908,0.08333333333333333
11,CL,0.5735294117647058,0.8708487084870848,0.5
12,RBS,0.625,0.9298892988929889,0.525
13,HBFR,0.9338235294117647,0.9944649446494465,0.825
14,BL,0.16911764705882354,0.48154981549815495,0.125
15,LU,0.6544117647058824,0.8726937269372693,0.55
