BLA,BLP,LU,BL,SBLU,SLR
17020.621,623.928,R,0.584368762337801,"A, G, R","primary, tertiary"
3894.159,811.414,G,0.563376810123285,"A, E, G, R","primary, tertiary"
2009.116,422.4,G,0.619095446992146,"E, G","primary, tertiary"
18242.538,1198.669,E,0.529562943420222,"E, G, R","primary, tertiary"
1627.86,382.418,G,0.456128653193557,"E, G","primary, tertiary"
4948.878,1111.199,G,0.528056599538923,"E, G",primary
1834.998,385.968,G,0.645691335298385,"A, G, R","primary, tertiary"
23637.594,611.779,R,0.592505970164581,"A, G, R","primary, tertiary"
5039.297,396.926,E,0.174583179314657,"G, R","primary, secondary, tertiary"
1085.037,343.919,G,0.187323002724248,"A, G, R","primary, secondary, tertiary"
16740.703,535.06,B,0.470297026754542,"A, G","primary, tertiary"
1014.505,224.231,G,0.54303312717916,G,"primary, tertiary"
979.249,216.051,G,0.523161879262273,"E, G, U","secondary, tertiary"
2111.045,189.207,G,0.560382086520338,"E, G, U",secondary
9111.977,418.307,G,0.575346767244078,"E, G, U","secondary, tertiary"
21646.192,615.423,B,0.470201330294996,"A, B, G","primary, tertiary"
1116.349,241.994,G,0.557500851130009,"B, G","primary, tertiary"
6170.382,451.258,E,0.889225099300004,"B, E, G",tertiary
57587.377,999.975,G,1.0,"E, G","secondary, tertiary"
12183.946,434.596,B,0.043475389511049,B,"primary, tertiary"
12317.307,438.974,B,0.085919768650066,"B, R","primary, tertiary"
14652.923,482.895,B,0.029505428629237,"B, G","primary, tertiary"
53566.409,971.844,R,0.427650201416054,"B, G, R","secondary, tertiary"
3294.933,420.45,G,0.541180392959385,"B, G","primary, secondary, tertiary"
36754.003,793.139,A,0.491895663552358,"A, G, R","primary, secondary, tertiary"
1692.421,359.671,G,0.573865194680154,G,"primary, secondary, tertiary"
30260.159,685.781,R,0.472999358184746,"A, E, G, R",tertiary
9580.716,389.321,R,0.617980370413724,"A, R",tertiary
5701.253,308.845,R,0.548178662892534,"A, R",tertiary
2031.336,195.991,E,0.298622014549256,"E, G","secondary, tertiary"
555.327,146.411,G,0.30400792941273,"A, E, G","secondary, tertiary"
1883.197,185.545,E,0.245713118651399,"E, G, R","secondary, tertiary"
483.794,130.093,G,0.25292931281675,"A, E, G","secondary, tertiary"
654.851,271.22,G,0.383576837470964,"E, G","primary, tertiary"
2635.11,303.788,E,0.373909978206453,"E, G","primary, tertiary"
1317.555,283.802,G,0.362545898912526,"E, G",tertiary
115112.377,1717.73,G,0.288567745432368,"A, B, G, R","primary, tertiary"
3174.074,271.743,E,0.083369033655568,"B, E, G","secondary, tertiary"
877.024,223.37,G,0.090888940901102,"A, B, E, G","secondary, tertiary"
18084.9,563.669,G,0.201800367294419,"A, B, G","primary, tertiary"
61582.996,1050.35,B,0.396110876393258,"B, G","primary, tertiary"
3137.14,402.196,G,0.533024839968555,"B, G","primary, tertiary"
579.281,244.895,G,0.446670229900578,"B, E, G","primary, tertiary"
2452.271,283.821,E,0.436259287574049,"B, E, G","primary, tertiary"
1227.739,265.813,G,0.425112365163513,"B, E, G",tertiary
17029.316,521.238,B,0.372478672918643,"B, E, G, R",tertiary
14412.317,476.443,B,0.022704327203876,"B, G","primary, secondary, tertiary"
12180.388,436.629,B,0.066664919479241,"A, B","primary, tertiary"
3265.157,278.704,E,0.067180786931382,"B, E, G","secondary, tertiary"
905.889,230.287,G,0.074424482753309,"B, G","secondary, tertiary"
9318.95,384.961,B,0.109642871539649,"B, G","secondary, tertiary"
3186.849,275.856,E,0.066628078239279,"E, G","secondary, tertiary"
917.815,231.53,G,0.073846195889446,"B, E, G","secondary, tertiary"
8352.322,368.533,G,0.048630559248251,"B, E, G",tertiary
1004.088,221.099,G,0.071878393664363,"E, G","primary, tertiary"
2908.848,258.08,E,0.078848793127263,"E, G","primary, secondary, tertiary"
481.776,204.318,G,0.085112299659667,"E, G","primary, secondary, tertiary"
12808.872,445.117,B,0.001614631755178,"B, G","primary, secondary, tertiary"
1923.966,381.093,G,0.115090490387043,"E, G","primary, tertiary"
5429.414,416.929,E,0.122946229210355,"B, E, G","primary, secondary, tertiary"
553.734,353.896,G,0.137761462266038,"B, E","secondary, tertiary"
11626.995,486.015,B,0.102783320385433,"B, E, G","primary, tertiary"
16470.999,521.426,B,0.071958956699554,G,"primary, tertiary"
76483.504,1325.582,G,0.582453027483819,U,"secondary, tertiary"
11595.783,447.885,U,0.449082932131232,U,"primary, secondary, tertiary"
266046.247,2776.821,G,0.514045925117654,"A, B, E, U","primary, secondary, tertiary"
9276.697,382.588,B,0.269664841292094,"B, G","secondary, tertiary"
7827.619,352.153,G,0.336186880712845,"B, G","secondary, tertiary"
12836.082,448.637,B,0.146019827971437,B,"primary, tertiary"
12805.291,445.837,B,0.19709023302342,B,"primary, secondary, tertiary"
11416.545,421.422,B,0.243881225391614,"B, G","secondary, tertiary"
2943.322,332.511,G,0.363204958677803,"E, G, R",tertiary
8131.736,402.789,R,0.358324106217426,"A, E, G, R",tertiary
4917.078,986.886,G,0.412300616973499,"A, E, G, R","primary, tertiary"
15525.68,1035.22,E,0.428701937790693,"A, E, G, R","primary, tertiary"
15923.738,1049.273,G,0.458101439327733,"E, G","primary, secondary"
9707.377,423.757,B,0.392559603688049,"B, E, G",tertiary
2939.153,332.081,B,0.382076010029782,"B, E, G",tertiary
17197.394,524.716,R,0.350377959853509,"A, E, G, R","primary, tertiary"
10736.911,1260.54,G,0.824162483681078,"E, G, U",residential
43468.123,1030.914,G,0.830880551540468,"A, B, E, G, U",tertiary
761.026,119.41,G,0.377561356869501,B,"secondary, tertiary"
13458.976,471.547,B,0.480961709381366,"B, G","secondary, tertiary"
21893.265,587.948,B,0.553816914760464,"B, G","secondary, tertiary"
505.269,215.288,G,0.401423799154139,"E, G","primary, tertiary"
2169.801,255.542,E,0.392414267680606,"E, G","primary, tertiary"
1095.564,239.348,G,0.381252450955952,"E, G","primary, tertiary"
23979.926,742.607,G,0.268029393923912,"E, G","primary, tertiary"
1068.741,231.248,G,0.395788805167829,"E, G","primary, tertiary"
2158.011,256.497,E,0.384077130799625,"E, G","primary, tertiary"
1081.652,236.558,G,0.37278354923392,"E, G","primary, tertiary"
9028.675,384.677,R,0.167188819091096,"G, R",tertiary
4570.0,271.418,R,0.130986158584775,"G, R","primary, tertiary"
1668.184,355.429,G,0.167226032805418,"G, R","primary, tertiary"
17366.507,524.665,R,0.311454666852551,"A, E, G, R",tertiary
13245.871,464.595,A,0.333514400534264,"A, B, G",tertiary
2879.856,250.804,E,0.110333152559405,"B, E, G","primary, secondary, tertiary"
448.283,193.434,G,0.116168663106963,"A, E, G","primary, secondary, tertiary"
612.046,256.489,G,0.571768580364949,"E, G","primary, secondary, tertiary"
2540.194,293.998,E,0.561894342919644,"E, G","primary, secondary, tertiary"
13361.757,490.864,R,0.340577412814627,"A, B, G, R","primary, tertiary"
21154.854,590.414,A,0.219641124227488,"A, G, R","primary, tertiary"
12147.159,438.397,R,0.067784872451602,"B, R","primary, tertiary"
14441.681,477.716,B,0.002749833176178,"B, G","secondary, tertiary"
10284.688,398.324,B,0.131913884344442,"B, G","secondary, tertiary"
7343.81,350.768,B,0.047671934369466,"B, E, G","secondary, tertiary"
1095.049,239.247,G,0.060062677461778,"B, E, G","secondary, tertiary"
12282.929,438.436,B,0.0,"B, G","primary, tertiary"
8457.905,364.811,B,0.291369067882501,"B, G, R","primary, tertiary"
10622.351,408.208,A,0.114507271861945,"B, G","secondary, tertiary"
7918.985,350.737,B,0.34063224924261,"B, G","primary, secondary, tertiary"
8038.928,365.072,G,0.091382321407875,"B, R",tertiary
17789.73,534.015,R,0.237325591922654,"A, R","primary, secondary, tertiary"
13341.477,454.368,B,0.106895353145304,B,"primary, tertiary"
14608.5,493.944,B,0.384797924685882,"B, G","secondary, tertiary"
27770.652,651.59,A,0.701749235855144,"B, E, U",tertiary
15207.442,493.066,R,0.328967898859004,"A, E, G","primary, tertiary"
2030.26,243.552,E,0.410888020846193,"E, G","primary, tertiary"
1017.222,223.657,G,0.399641757869913,"E, G",tertiary
12536.322,450.342,B,0.35227368659138,"E, G",tertiary
20743.555,660.599,B,0.205377811168285,"E, G, R","primary, tertiary"
646.32,150.147,G,0.238966354095484,"E, G, R",tertiary
5443.56,305.263,A,0.485353604229134,"A, R",tertiary
11191.56,435.593,A,0.418914173935769,"A, G, R",tertiary
23196.684,656.576,B,0.479456861090712,"A, B, G","primary, tertiary"
1036.778,226.672,G,0.579175930750067,"B, G","primary, tertiary"
1058.039,231.838,G,0.076257466964233,"B, E, G","secondary, tertiary"
2305.601,269.67,E,0.486502398133116,"B, E, G","primary, secondary, tertiary"
1145.018,249.298,G,0.475366210878757,"B, E, G","secondary, tertiary"
