BLA,BLP,LU,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,SBLU,SLR
4302.336,274.433,U,18.0,1,0.076248809948828,0.019062202487207,0,0.0,18.0,0.0,82.012,0.027877940061104,0.9999999999,0.0,0.750570999178717,"B, R","primary, tertiary"
1653.984,180.425,U,12.0,2,3.208420395844216,1.069473465281405,0,0.0,12.0,0.0,884.4459999999999,0.328774769141457,0.99999999995,0.0,0.363880558316043,"B, R",secondary
1423.033,167.9,U,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323094415305478,"B, R",residential
10417.743,429.681,U,18.0,3,2.610165368832769,0.652541342208192,0,0.0,18.0,0.0,2266.0026666666668,0.163209256558169,0.999999999966667,0.0,0.101788053914648,"A, B, G","primary, residential"
1713.113,167.737,U,18.0,3,2.084051665009839,0.52101291625246,0,0.0,18.0,0.0,297.51800000000003,0.306936329046938,0.999999999966667,0.0,0.503330840457154,"B, R, U",tertiary
1404.107,151.105,U,18.0,4,4.115113734209714,1.028778433552429,0,0.0,18.0,0.0,361.12874999999997,0.545780681714832,0.999999999975,0.0,0.487847522428506,"B, U",primary
2435.468,213.966,U,12.0,1,1.82446494883119,0.60815498294373,0,0.0,12.0,0.0,1481.142,0.417047755353476,0.9999999999,0.0,0.781770140899432,"B, R","primary, residential"
19894.555,574.883,A,18.0,9,0.993672992434362,0.249019090902008,0,0.0,17.333333333333332,0.0,550.4582222222222,0.119515390573362,0.555555555549383,0.0,0.690898317258547,"B, R",tertiary
9836.651,440.158,A,38.0,14,1.39956536020237,0.331548511785159,0,0.0,18.071428571428573,0.0,232.9519285714286,0.29302581580595,0.928571428564796,0.0,0.696893265672005,"B, R","secondary, tertiary, residential"
219689.039,2002.949,A,18.0,13,2.697578899236752,0.674394724809188,0,0.0,18.0,0.0,11396.70223076923,0.0,0.0,0.0,0.414569293909325,"B, G","trunk, primary, secondary, tertiary, residential"
3414.097,248.671,A,36.0,2,2.233586216208854,0.34324244448825,0,0.0,27.0,0.0,585.9315,0.066654613125424,0.99999999995,0.0,0.531580301767743,"B, G, R",secondary
4883.634,285.745,A,18.0,2,1.349425448344409,0.337356362086102,0,0.0,18.0,0.0,823.7625,0.326357851468645,0.99999999995,0.0,0.070162205098105,"G, U",residential
10509.099,438.376,A,11.0,11,0.662423867165016,0.331211933582508,0,0.0,11.0,0.0,316.4308181818182,0.180383209281431,0.545454545449587,0.0,0.346434403153958,"B, R",residential
30623.027,799.709,A,18.0,6,1.181984263018806,0.295496065754702,0,0.0,18.0,0.0,1508.164,0.005423608607327,0.166666666663889,0.0,0.479942814601179,"B, R","secondary, tertiary"
24369.486,653.784,A,177.0,11,1.653820150330622,0.361294078996988,1,177.0,29.363636363636363,0.0,800.4137272727272,0.046432187270822,0.363636363633058,1.0,0.436403027874166,"B, R","secondary, residential"
9767.145,595.718,A,12.0,1,0.913295236223072,0.304431745407691,0,0.0,12.0,0.0,2973.429,0.178321979349514,0.9999999999,0.0,0.348839090310372,"B, R","secondary, tertiary"
90736.514,1432.037,A,18.0,10,3.291293117123719,0.82282327928093,0,0.0,18.0,0.0,7466.0116,0.336181672131485,0.499999999995,0.0,0.241107859089889,G,secondary
12455.302,502.471,A,36.0,1,0.207737395689001,0.025967174461125,0,0.0,36.0,0.0,323.429,0.065829211010241,0.9999999999,0.0,0.68101923704037,"A, R","secondary, tertiary"
